
<<<<<<< Updated upstream
857.9429950	918.8430004	75.2659983
911.9700076	949.5940246	75.2290144
856.9118699	1096.1299883	75.1290021
916.0690728	1060.5679981	75.2289944
760.6289124	973.3650007	75.1409997
761.3550639	1042.4870351	75.0850017
=======
227.2118652	907.2500946	66.6491222
293.6337738	945.7261810	66.6540939
227.4076608	1090.7946455	66.6313488
293.4685165	1052.7083308	66.6741765
136.2650352	960.6206095	66.6763161
136.2037803	1037.6634795	66.6591217910125
>>>>>>> Stashed changes
