1159.4879736	993.2452568	65.3318692	18.0000000
1166.7942123	1017.2790949	65.3256254	20.0000000
1124.8802395	1017.9709767	65.3256169	17.0000000
1138.3779697	981.4749433	65.3349925	17.0000000
1166.3452828	981.1632571	65.3318790	18.0000000
1096.6712170	994.1259640	65.3318709	18.0000000
1134.6975466	963.7414974	65.3381251	16.0000000
1169.2783713	951.0041249	65.3349906	17.0000000
1197.3939775	999.0593840	65.3256231	17.0000000
1181.3386900	1053.7455893	65.3193814	16.0000000
1125.5153559	1054.2027058	65.3193628	16.0000000
1094.3649849	1060.8501320	65.3162383	14.0000000
1072.4486965	1012.7137832	65.3224949	15.0000000
1071.8477400	964.1910348	65.3349894	17.0000000
1116.9399830	933.5419835	65.3412364	15.0000000
1155.0866116	926.9350797	65.3381184	19.0000000
1190.2594070	950.6728739	65.3318626	15.0000000
1218.4079496	962.5872648	65.3193615	13.0000000
1222.1860485	992.6048884	65.3131272	18.0000000
1219.5110320	1046.9280945	65.3037410	18.0000000
1188.1928458	1065.5542305	65.3131118	15.0000000
1146.6142606	1090.4848498	65.3068712	20.0000000
