1148.2092383	816.1050186	65.8550001
1074.3090163	844.7699227	65.8237491
1067.0092886	791.6742684	65.8049994
1079.8311708	750.8803127	65.7737502
1110.0312740	751.9341521	65.8049985
1154.3596538	719.1772643	65.8050000
1204.1466712	749.2071659	65.8487454
1212.3183416	792.6101984	65.8674981
1200.5185939	846.0910138	65.8924985
1181.1488177	861.3099602	65.8925002
1158.5975813	882.2895274	65.8799990
1105.2144225	864.1891303	65.8549964
1110.4634435	802.3785646	65.8362489
1132.3284706	777.8241731	65.8362488
1158.6383461	772.3678158	65.8487471
1171.4822687	799.9394492	65.8674977
1154.9560463	812.9426024	65.8674965
1141.9136270	822.1832877	65.8612484
